R behaviour p_val sample_size t1 t2 delta_t Key species_common species_latin measurements_per_ind sex context type_of_treatment treatment life_stage event R_se CI_lower CI_upper remarks max_lifespan_days
0.522** alarm_calling_antipredator_behav 0.01 72 919.5 918.5 -1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.393* alarm_calling_antipredator_behav 0.05 72 920.5 918.5 -2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.422* alarm_calling_antipredator_behav 0.05 72 920.5 919.5 -1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.156 food_calling_foraging_behav >0.05 72 913.5 914.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.195 food_calling_foraging_behav >0.05 72 913.5 915.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.165 food_calling_foraging_behav >0.05 72 914.5 915.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.102 food_calling_foraging_behav >0.05 72 913.5 916.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.190 food_calling_foraging_behav >0.05 72 914.5 916.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.326 food_calling_foraging_behav >0.05 72 915.5 916.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.421* food_calling_foraging_behav 0.05 72 913.5 917.5 4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.146 food_calling_foraging_behav >0.05 72 914.5 917.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.237 food_calling_foraging_behav >0.05 72 915.5 917.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.201 food_calling_foraging_behav >0.05 72 916.5 917.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
