sex R CI_lower CI_upper p_val behaviour t1 t2 Key species_common species_latin sample_size measurements_per_ind context type_of_treatment treatment event R_se delta_t remarks max_lifespan_days life_stage
0 0.19 0 0.46 "> 0.05" activity 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 18 NA 1825 adult
2 0.00 0 0.40 >0.05 activity 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 18 NA 1825 adult
1 0.34 0 0.64 0.046 activity 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 18 NA 1825 adult
0 0.29 0 0.52 0.021 aggression 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 18 NA 1825 adult
2 0.31 0 0.66 "> 0.05" aggression 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 18 NA 1825 adult
1 0.29 0 0.58 "> 0.05" aggression 103 121 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 18 NA 1825 adult
0 0.67 0.50 0.80 0.001 fearlessness 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 14 NA 1825 adult
2 0.68 0.32 0.85 0.001 fearlessness 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 14 NA 1825 adult
1 0.68 0.40 0.84 0.001 fearlessness 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 14 NA 1825 adult
0 0.37 0.10 0.61 0.005 exploration 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 14 NA 1825 adult
2 0.43 0.004 0.70 0.026 exploration 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 14 NA 1825 adult
1 0.25 0 0.58 >0.05 exploration 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 14 NA 1825 adult
0 0.11 0 0.38 "> 0.05" boldness 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 14 NA 1825 adult
2 0.24 0 0.60 >0.05 boldness 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 14 NA 1825 adult
1 0.00 0 0.40 >0.05 boldness 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 14 NA 1825 adult
0 0.10 0 0.37 "> 0.05" activity 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 14 NA 1825 adult
2 0.04 0 0.45 "> 0.05" activity 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 14 NA 1825 adult
1 0.13 0 0.51 "> 0.05" activity 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 14 NA 1825 adult
0 0.24 0 0.51 "> 0.05" aggression 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 NA NA 14 NA 1825 adult
2 0.10 0 0.48 "> 0.05" aggression 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 NA NA 14 NA 1825 adult
1 0.36 0 0.67 0.038 aggression 367 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 NA NA 14 NA 1825 adult
0 0.50 0.24 0.68 0.001 fearlessness 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 maturation NA 325 NA 1825 adult
